Feat0	Feat1	Feat2
Cls0_0 -0.6158 -0.2671  0.502 
Cls0_1   1.5501  1.0439  1.1783
Cls0_2   0.6467  0.4905  0.5226
Cls0_3  -0.291  -0.0737  0.425 
Cls0_4   1.185   0.8446  2.3074
Cls0_5   0.8442  0.5927 -0.4099
Cls0_6   0.6472  0.4961  0.825 
Cls0_7   1.076   0.7539  0.8559
Cls0_8   0.6916  0.5345  1.4984
Cls0_9   0.4032  0.3542  1.0787
Cls1_0  1.6924  1.2069  1.074 
Cls1_1   1.3368  0.9995  1.4101
Cls1_2   0.7819  0.6672  1.4437
Cls1_3   1.1146  0.8513  0.5558
Cls1_4   1.4162  1.0536  1.7793
Cls1_5   1.5408  1.1317  1.9742
Cls1_6  -0.1673  0.0665 -0.3477
Cls1_7   1.1261  0.88    1.8062
Cls1_8   0.3825  0.4088  0.3673
Cls1_9   1.5043  1.0935  1.0403
Cls2_0  0.4111  0.6377 -0.1978
Cls2_1   1.6065  1.3603  0.1217
Cls2_2   0.0766  0.4403 -0.0132
Cls2_3   0.8717  0.9134 -0.2275
Cls2_4   0.6081  0.7763  0.9703
Cls2_5   0.8666  0.9102 -0.2412
Cls2_6  -0.2083  0.2584 -0.6401
Cls2_7   1.2393  1.1499  0.6814
Cls2_8   0.8958  0.9349  0.1732
Cls2_9   0.7069  0.8405  1.2493
